OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD,mode,latency(cycles)
128,8,299,299,3,3,2,2,0,0,0,0,sta,22483
128,8,299,299,3,3,2,2,0,0,0,0,dyn,22523
128,32,149,149,3,3,1,1,0,0,0,0,sta,69002
128,32,149,149,3,3,1,1,0,0,0,0,dyn,69321
128,32,147,147,3,3,1,1,1,1,1,1,sta,69002
128,32,147,147,3,3,1,1,1,1,1,1,dyn,69382
128,64,73,73,1,1,1,1,0,0,0,0,sta,5646
128,64,73,73,1,1,1,1,0,0,0,0,dyn,5676
256,80,73,73,3,3,1,1,0,0,0,0,sta,80590
256,80,73,73,3,3,1,1,0,0,0,0,dyn,82466
128,192,35,35,1,1,1,1,0,0,0,0,sta,2999
128,192,35,35,1,1,1,1,0,0,0,0,dyn,3195
128,192,35,35,1,1,1,1,0,0,0,0,sta,2999
128,192,35,35,1,1,1,1,0,0,0,0,dyn,3195
128,192,35,35,1,1,1,1,0,0,0,0,sta,2999
128,192,35,35,1,1,1,1,0,0,0,0,dyn,3196
128,48,35,35,5,5,1,1,2,2,2,2,sta,17230
128,48,35,35,5,5,1,1,2,2,2,2,dyn,18763
128,64,35,35,3,3,1,1,1,1,1,1,sta,8420
128,64,35,35,3,3,1,1,1,1,1,1,dyn,9114
128,192,35,35,1,1,1,1,0,0,0,0,sta,2999
128,192,35,35,1,1,1,1,0,0,0,0,dyn,3193
128,96,35,35,3,3,1,1,1,1,1,1,sta,12486
128,96,35,35,3,3,1,1,1,1,1,1,dyn,13585
128,256,35,35,1,1,1,1,0,0,0,0,sta,3903
128,256,35,35,1,1,1,1,0,0,0,0,dyn,4182
128,256,35,35,1,1,1,1,0,0,0,0,sta,3903
128,256,35,35,1,1,1,1,0,0,0,0,dyn,4183
128,256,35,35,1,1,1,1,0,0,0,0,sta,3903
128,256,35,35,1,1,1,1,0,0,0,0,dyn,4185
128,48,35,35,5,5,1,1,2,2,2,2,sta,17230
128,48,35,35,5,5,1,1,2,2,2,2,dyn,18798
128,64,35,35,3,3,1,1,1,1,1,1,sta,8420
128,64,35,35,3,3,1,1,1,1,1,1,dyn,9114
128,256,35,35,1,1,1,1,0,0,0,0,sta,3903
128,256,35,35,1,1,1,1,0,0,0,0,dyn,4248
128,96,35,35,3,3,1,1,1,1,1,1,sta,12486
128,96,35,35,3,3,1,1,1,1,1,1,dyn,13553
128,288,35,35,1,1,1,1,0,0,0,0,sta,4355
128,288,35,35,1,1,1,1,0,0,0,0,dyn,4675
128,288,35,35,1,1,1,1,0,0,0,0,sta,4355
128,288,35,35,1,1,1,1,0,0,0,0,dyn,4675
128,288,35,35,1,1,1,1,0,0,0,0,sta,4355
128,288,35,35,1,1,1,1,0,0,0,0,dyn,4716
128,48,35,35,5,5,1,1,2,2,2,2,sta,17230
128,48,35,35,5,5,1,1,2,2,2,2,dyn,18761
128,64,35,35,3,3,1,1,1,1,1,1,sta,8421
128,64,35,35,3,3,1,1,1,1,1,1,dyn,9175
128,288,35,35,1,1,1,1,0,0,0,0,sta,4355
128,288,35,35,1,1,1,1,0,0,0,0,dyn,4707
128,96,35,35,3,3,1,1,1,1,1,1,sta,12486
128,96,35,35,3,3,1,1,1,1,1,1,dyn,13552
384,288,35,35,3,3,2,2,0,0,0,0,sta,27735
384,288,35,35,3,3,2,2,0,0,0,0,dyn,38016
128,288,35,35,1,1,1,1,0,0,0,0,sta,4355
128,288,35,35,1,1,1,1,0,0,0,0,dyn,4731
128,64,35,35,3,3,1,1,1,1,1,1,sta,8421
128,64,35,35,3,3,1,1,1,1,1,1,dyn,9147
128,96,35,35,3,3,2,2,0,0,0,0,sta,3340
128,96,35,35,3,3,2,2,0,0,0,0,dyn,4476
256,768,17,17,1,1,1,1,0,0,0,0,sta,5710
256,768,17,17,1,1,1,1,0,0,0,0,dyn,7712
128,768,17,17,1,1,1,1,0,0,0,0,sta,2999
128,768,17,17,1,1,1,1,0,0,0,0,dyn,3974
128,768,17,17,1,1,1,1,0,0,0,0,sta,2999
128,768,17,17,1,1,1,1,0,0,0,0,dyn,3974
128,128,17,17,1,7,1,1,3,3,0,0,sta,3451
128,128,17,17,1,7,1,1,3,3,0,0,dyn,4590
128,128,17,17,7,1,1,1,0,0,3,3,sta,3451
128,128,17,17,7,1,1,1,0,0,3,3,dyn,4592
256,768,17,17,1,1,1,1,0,0,0,0,sta,5710
