OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD,mode,latency(cycles)
64,8,224,224,3,3,2,2,1,1,1,1,sta,7102
64,8,224,224,3,3,2,2,1,1,1,1,dyn,7102
64,32,112,112,3,3,2,2,1,1,1,1,sta,7033
64,32,112,112,3,3,2,2,1,1,1,1,dyn,7034
64,64,56,56,1,1,1,1,0,0,0,0,sta,1939
64,64,56,56,1,1,1,1,0,0,0,0,dyn,1939
64,64,56,56,3,3,1,1,1,1,1,1,sta,13742
64,64,56,56,3,3,1,1,1,1,1,1,dyn,13827
64,32,56,56,1,1,1,1,0,0,0,0,sta,1883
64,32,56,56,1,1,1,1,0,0,0,0,dyn,1884
64,64,56,56,3,3,1,1,1,1,1,1,sta,13742
64,64,56,56,3,3,1,1,1,1,1,1,dyn,13857
64,192,56,56,1,1,1,1,0,0,0,0,sta,5101
64,192,56,56,1,1,1,1,0,0,0,0,dyn,5101
64,64,56,56,3,3,1,1,1,1,1,1,sta,13742
64,64,56,56,3,3,1,1,1,1,1,1,dyn,13827
64,64,56,56,1,1,1,1,0,0,0,0,sta,1939
64,64,56,56,1,1,1,1,0,0,0,0,dyn,1939
64,64,56,56,3,3,1,1,1,1,1,1,sta,13742
64,64,56,56,3,3,1,1,1,1,1,1,dyn,13827
64,32,56,56,1,1,1,1,0,0,0,0,sta,1883
64,32,56,56,1,1,1,1,0,0,0,0,dyn,1883
64,64,56,56,3,3,1,1,1,1,1,1,sta,13742
64,64,56,56,3,3,1,1,1,1,1,1,dyn,13827
128,256,56,56,1,1,1,1,0,0,0,0,sta,12255
128,256,56,56,1,1,1,1,0,0,0,0,dyn,12316
128,128,56,56,3,3,2,2,1,1,1,1,sta,14968
128,128,56,56,3,3,2,2,1,1,1,1,dyn,15588
128,128,28,28,1,1,1,1,0,0,0,0,sta,1951
128,128,28,28,1,1,1,1,0,0,0,0,dyn,2010
64,128,28,28,3,3,1,1,1,1,1,1,sta,7643
64,128,28,28,3,3,1,1,1,1,1,1,dyn,7931
128,64,28,28,1,1,1,1,0,0,0,0,sta,1186
128,64,28,28,1,1,1,1,0,0,0,0,dyn,1186
64,128,28,28,3,3,1,1,1,1,1,1,sta,7643
64,128,28,28,3,3,1,1,1,1,1,1,dyn,7929
128,384,28,28,1,1,1,1,0,0,0,0,sta,5214
128,384,28,28,1,1,1,1,0,0,0,0,dyn,5345
128,128,28,28,3,3,1,1,1,1,1,1,sta,14962
128,128,28,28,3,3,1,1,1,1,1,1,dyn,15589
128,128,28,28,1,1,1,1,0,0,0,0,sta,1951
128,128,28,28,1,1,1,1,0,0,0,0,dyn,1951
64,128,28,28,3,3,1,1,1,1,1,1,sta,7643
64,128,28,28,3,3,1,1,1,1,1,1,dyn,7936
128,64,28,28,1,1,1,1,0,0,0,0,sta,1186
128,64,28,28,1,1,1,1,0,0,0,0,dyn,1186
64,128,28,28,3,3,1,1,1,1,1,1,sta,7644
64,128,28,28,3,3,1,1,1,1,1,1,dyn,7898
128,512,28,28,1,1,1,1,0,0,0,0,sta,6845
128,512,28,28,1,1,1,1,0,0,0,0,dyn,7081
128,128,28,28,3,3,1,1,1,1,1,1,sta,14962
128,128,28,28,3,3,1,1,1,1,1,1,dyn,15594
128,128,28,28,1,1,1,1,0,0,0,0,sta,1951
128,128,28,28,1,1,1,1,0,0,0,0,dyn,1951
64,128,28,28,3,3,1,1,1,1,1,1,sta,7643
64,128,28,28,3,3,1,1,1,1,1,1,dyn,7982
128,64,28,28,1,1,1,1,0,0,0,0,sta,1186
128,64,28,28,1,1,1,1,0,0,0,0,dyn,1186
64,128,28,28,3,3,1,1,1,1,1,1,sta,7644
64,128,28,28,3,3,1,1,1,1,1,1,dyn,7898
320,512,28,28,1,1,1,1,0,0,0,0,sta,16604
320,512,28,28,1,1,1,1,0,0,0,0,dyn,17325
320,288,28,28,3,3,2,2,1,1,1,1,sta,27777
320,288,28,28,3,3,2,2,1,1,1,1,dyn,31741
320,288,14,14,1,1,1,1,0,0,0,0,sta,3380
320,288,14,14,1,1,1,1,0,0,0,0,dyn,3747
192,288,14,14,3,3,1,1,1,1,1,1,sta,16791
192,288,14,14,3,3,1,1,1,1,1,1,dyn,19137
320,144,14,14,1,1,1,1,0,0,0,0,sta,1849
320,144,14,14,1,1,1,1,0,0,0,0,dyn,1977
192,288,14,14,3,3,1,1,1,1,1,1,sta,16791
192,288,14,14,3,3,1,1,1,1,1,1,dyn,19133
320,864,14,14,1,1,1,1,0,0,0,0,sta,9504
320,864,14,14,1,1,1,1,0,0,0,0,dyn,10728
320,288,14,14,3,3,1,1,1,1,1,1,sta,27769
320,288,14,14,3,3,1,1,1,1,1,1,dyn,31701
320,288,14,14,1,1,1,1,0,0,0,0,sta,3379
320,288,14,14,1,1,1,1,0,0,0,0,dyn,3748
192,288,14,14,3,3,1,1,1,1,1,1,sta,16792
192,288,14,14,3,3,1,1,1,1,1,1,dyn,19194
320,144,14,14,1,1,1,1,0,0,0,0,sta,1849
320,144,14,14,1,1,1,1,0,0,0,0,dyn,1993
192,288,14,14,3,3,1,1,1,1,1,1,sta,16791
192,288,14,14,3,3,1,1,1,1,1,1,dyn,19204
320,1152,14,14,1,1,1,1,0,0,0,0,sta,12566
320,1152,14,14,1,1,1,1,0,0,0,0,dyn,14232
320,288,14,14,3,3,1,1,1,1,1,1,sta,27769
320,288,14,14,3,3,1,1,1,1,1,1,dyn,31743
320,288,14,14,1,1,1,1,0,0,0,0,sta,3380
320,288,14,14,1,1,1,1,0,0,0,0,dyn,3714
192,288,14,14,3,3,1,1,1,1,1,1,sta,16791
192,288,14,14,3,3,1,1,1,1,1,1,dyn,19216
320,144,14,14,1,1,1,1,0,0,0,0,sta,1849
320,144,14,14,1,1,1,1,0,0,0,0,dyn,2010
192,288,14,14,3,3,1,1,1,1,1,1,sta,16792
192,288,14,14,3,3,1,1,1,1,1,1,dyn,19146
320,1152,14,14,1,1,1,1,0,0,0,0,sta,12566
320,1152,14,14,1,1,1,1,0,0,0,0,dyn,14266
320,288,14,14,3,3,1,1,1,1,1,1,sta,27769
320,288,14,14,3,3,1,1,1,1,1,1,dyn,31746
320,288,14,14,1,1,1,1,0,0,0,0,sta,3379
320,288,14,14,1,1,1,1,0,0,0,0,dyn,3714
192,288,14,14,3,3,1,1,1,1,1,1,sta,16791
192,288,14,14,3,3,1,1,1,1,1,1,dyn,19126
320,144,14,14,1,1,1,1,0,0,0,0,sta,1850
320,144,14,14,1,1,1,1,0,0,0,0,dyn,2050
192,288,14,14,3,3,1,1,1,1,1,1,sta,16791
192,288,14,14,3,3,1,1,1,1,1,1,dyn,19131
448,1152,14,14,1,1,1,1,0,0,0,0,sta,17445
448,1152,14,14,1,1,1,1,0,0,0,0,dyn,19829
768,416,14,14,3,3,2,2,1,1,1,1,sta,32039
768,416,14,14,3,3,2,2,1,1,1,1,dyn,45965
1024,760,7,7,3,3,1,1,1,1,1,1,sta,77576
1024,760,7,7,3,3,1,1,1,1,1,1,dyn,111659
1024,1024,7,7,3,3,2,2,1,1,1,1,sta,104411
1024,1024,7,7,3,3,2,2,1,1,1,1,dyn,150371
1280,1024,4,4,1,1,1,1,0,0,0,0,sta,14781
1280,1024,4,4,1,1,1,1,0,0,0,0,dyn,21074
