OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD,mode,latency(cycles)
64,8,224,224,7,7,2,2,3,3,3,3,sta,36573
64,8,224,224,7,7,2,2,3,3,3,3,dyn,36604
256,64,56,56,1,1,1,1,0,0,0,0,sta,6658
256,64,56,56,1,1,1,1,0,0,0,0,dyn,6658
64,64,56,56,1,1,1,1,0,0,0,0,sta,1939
64,64,56,56,1,1,1,1,0,0,0,0,dyn,1939
64,64,56,56,3,3,1,1,1,1,1,1,sta,13742
64,64,56,56,3,3,1,1,1,1,1,1,dyn,13825
256,64,56,56,1,1,1,1,0,0,0,0,sta,6658
256,64,56,56,1,1,1,1,0,0,0,0,dyn,6658
64,256,56,56,1,1,1,1,0,0,0,0,sta,6682
64,256,56,56,1,1,1,1,0,0,0,0,dyn,6683
64,64,56,56,3,3,1,1,1,1,1,1,sta,13742
64,64,56,56,3,3,1,1,1,1,1,1,dyn,13825
256,64,56,56,1,1,1,1,0,0,0,0,sta,6658
256,64,56,56,1,1,1,1,0,0,0,0,dyn,6658
64,256,56,56,1,1,1,1,0,0,0,0,sta,6682
64,256,56,56,1,1,1,1,0,0,0,0,dyn,6682
64,64,56,56,3,3,1,1,1,1,1,1,sta,13742
64,64,56,56,3,3,1,1,1,1,1,1,dyn,13829
256,64,56,56,1,1,1,1,0,0,0,0,sta,6658
256,64,56,56,1,1,1,1,0,0,0,0,dyn,6658
512,256,56,56,1,1,2,2,0,0,0,0,sta,13883
512,256,56,56,1,1,2,2,0,0,0,0,dyn,13889
128,256,56,56,1,1,2,2,0,0,0,0,sta,6979
128,256,56,56,1,1,2,2,0,0,0,0,dyn,6979
128,128,28,28,3,3,1,1,1,1,1,1,sta,14962
128,128,28,28,3,3,1,1,1,1,1,1,dyn,15588
512,128,28,28,1,1,1,1,0,0,0,0,sta,6830
512,128,28,28,1,1,1,1,0,0,0,0,dyn,7047
128,512,28,28,1,1,1,1,0,0,0,0,sta,6845
128,512,28,28,1,1,1,1,0,0,0,0,dyn,7080
128,128,28,28,3,3,1,1,1,1,1,1,sta,14962
128,128,28,28,3,3,1,1,1,1,1,1,dyn,15657
512,128,28,28,1,1,1,1,0,0,0,0,sta,6830
512,128,28,28,1,1,1,1,0,0,0,0,dyn,7047
128,512,28,28,1,1,1,1,0,0,0,0,sta,6845
128,512,28,28,1,1,1,1,0,0,0,0,dyn,7047
128,128,28,28,3,3,1,1,1,1,1,1,sta,14962
128,128,28,28,3,3,1,1,1,1,1,1,dyn,15655
512,128,28,28,1,1,1,1,0,0,0,0,sta,6830
512,128,28,28,1,1,1,1,0,0,0,0,dyn,7088
128,512,28,28,1,1,1,1,0,0,0,0,sta,6845
128,512,28,28,1,1,1,1,0,0,0,0,dyn,7047
128,128,28,28,3,3,1,1,1,1,1,1,sta,14962
128,128,28,28,3,3,1,1,1,1,1,1,dyn,15587
512,128,28,28,1,1,1,1,0,0,0,0,sta,6830
512,128,28,28,1,1,1,1,0,0,0,0,dyn,7047
1024,512,28,28,1,1,2,2,0,0,0,0,sta,18776
1024,512,28,28,1,1,2,2,0,0,0,0,dyn,20201
256,512,28,28,1,1,2,2,0,0,0,0,sta,5920
256,512,28,28,1,1,2,2,0,0,0,0,dyn,5920
256,256,14,14,3,3,1,1,1,1,1,1,sta,19841
256,256,14,14,3,3,1,1,1,1,1,1,dyn,22643
1024,256,14,14,1,1,1,1,0,0,0,0,sta,9003
1024,256,14,14,1,1,1,1,0,0,0,0,dyn,10187
256,1024,14,14,1,1,1,1,0,0,0,0,sta,9037
256,1024,14,14,1,1,1,1,0,0,0,0,dyn,10187
256,256,14,14,3,3,1,1,1,1,1,1,sta,19841
256,256,14,14,3,3,1,1,1,1,1,1,dyn,22638
1024,256,14,14,1,1,1,1,0,0,0,0,sta,9003
1024,256,14,14,1,1,1,1,0,0,0,0,dyn,10194
256,1024,14,14,1,1,1,1,0,0,0,0,sta,9036
256,1024,14,14,1,1,1,1,0,0,0,0,dyn,10188
256,256,14,14,3,3,1,1,1,1,1,1,sta,19841
256,256,14,14,3,3,1,1,1,1,1,1,dyn,22609
1024,256,14,14,1,1,1,1,0,0,0,0,sta,9003
1024,256,14,14,1,1,1,1,0,0,0,0,dyn,10186
256,1024,14,14,1,1,1,1,0,0,0,0,sta,9037
256,1024,14,14,1,1,1,1,0,0,0,0,dyn,10187
256,256,14,14,3,3,1,1,1,1,1,1,sta,19841
256,256,14,14,3,3,1,1,1,1,1,1,dyn,22643
1024,256,14,14,1,1,1,1,0,0,0,0,sta,9003
1024,256,14,14,1,1,1,1,0,0,0,0,dyn,10193
256,1024,14,14,1,1,1,1,0,0,0,0,sta,9037
256,1024,14,14,1,1,1,1,0,0,0,0,dyn,10188
256,256,14,14,3,3,1,1,1,1,1,1,sta,19841
256,256,14,14,3,3,1,1,1,1,1,1,dyn,22639
1024,256,14,14,1,1,1,1,0,0,0,0,sta,9003
