OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD,mode,latency(cycles)
128,8,224,224,3,3,2,2,1,1,1,1,sta,12819
128,8,224,224,3,3,2,2,1,1,1,1,dyn,12861
128,64,112,112,3,3,1,1,1,1,1,1,sta,79980
128,64,112,112,3,3,1,1,1,1,1,1,dyn,80713
128,64,112,112,3,3,2,2,1,1,1,1,sta,20211
128,64,112,112,3,3,2,2,1,1,1,1,dyn,20906
128,128,56,56,3,3,1,1,1,1,1,1,sta,40134
128,128,56,56,3,3,1,1,1,1,1,1,dyn,41614
128,64,56,56,3,3,1,1,1,1,1,1,sta,20211
128,64,56,56,3,3,1,1,1,1,1,1,dyn,20906
128,64,56,56,3,3,1,1,1,1,1,1,sta,20211
128,64,56,56,3,3,1,1,1,1,1,1,dyn,20936
128,64,56,56,3,3,1,1,1,1,1,1,sta,20211
128,64,56,56,3,3,1,1,1,1,1,1,dyn,20906
128,64,56,56,3,3,1,1,1,1,1,1,sta,20211
128,64,56,56,3,3,1,1,1,1,1,1,dyn,20905
128,576,56,56,1,1,1,1,0,0,0,0,sta,20212
128,576,56,56,1,1,1,1,0,0,0,0,dyn,20906
128,128,28,28,3,3,1,1,1,1,1,1,sta,10860
128,128,28,28,3,3,1,1,1,1,1,1,dyn,12336
128,80,28,28,3,3,1,1,1,1,1,1,sta,6895
128,80,28,28,3,3,1,1,1,1,1,1,dyn,7810
128,80,28,28,3,3,1,1,1,1,1,1,sta,6896
128,80,28,28,3,3,1,1,1,1,1,1,dyn,7848
128,80,28,28,3,3,1,1,1,1,1,1,sta,6896
128,80,28,28,3,3,1,1,1,1,1,1,dyn,7808
128,80,28,28,3,3,1,1,1,1,1,1,sta,6896
128,80,28,28,3,3,1,1,1,1,1,1,dyn,7775
256,656,28,28,1,1,1,1,0,0,0,0,sta,12328
256,656,28,28,1,1,1,1,0,0,0,0,dyn,14010
128,256,14,14,3,3,1,1,1,1,1,1,sta,6794
128,256,14,14,3,3,1,1,1,1,1,1,dyn,9789
128,96,14,14,3,3,1,1,1,1,1,1,sta,2728
128,96,14,14,3,3,1,1,1,1,1,1,dyn,3795
128,96,14,14,3,3,1,1,1,1,1,1,sta,2728
128,96,14,14,3,3,1,1,1,1,1,1,dyn,3826
128,96,14,14,3,3,1,1,1,1,1,1,sta,2728
128,96,14,14,3,3,1,1,1,1,1,1,dyn,3830
128,96,14,14,3,3,1,1,1,1,1,1,sta,2728
128,96,14,14,3,3,1,1,1,1,1,1,dyn,3875
384,992,14,14,1,1,1,1,0,0,0,0,sta,8692
384,992,14,14,1,1,1,1,0,0,0,0,dyn,12601
128,384,7,7,3,3,1,1,1,1,1,1,sta,2728
128,384,7,7,3,3,1,1,1,1,1,1,dyn,7285
128,112,7,7,3,3,1,1,1,1,1,1,sta,1000
128,112,7,7,3,3,1,1,1,1,1,1,dyn,2285
128,112,7,7,3,3,1,1,1,1,1,1,sta,1000
128,112,7,7,3,3,1,1,1,1,1,1,dyn,2286
128,112,7,7,3,3,1,1,1,1,1,1,sta,1000
128,112,7,7,3,3,1,1,1,1,1,1,dyn,2288
128,112,7,7,3,3,1,1,1,1,1,1,sta,1000
128,112,7,7,3,3,1,1,1,1,1,1,dyn,2297
512,1328,7,7,1,1,1,1,0,0,0,0,sta,4038
512,1328,7,7,1,1,1,1,0,0,0,0,dyn,11035
